_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
435,Yee Hong Centre Finch - 2nd Fl (North & South),60 Scottfield Dr,LTCH,Respiratory,COVID-19,,2024-08-16,2024-09-03,N,2024,,
436,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,COVID-19,,2024-08-15,2024-09-03,N,2024,,
437,Humber Meadows - 5th Fl (South Wing),2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2024-08-14,2024-08-23,N,2024,,
438,North Park Nursing Home - 1st Fl,450 Rustic Rd,LTCH,Respiratory,Parainfluenza,,2024-08-14,2024-08-28,N,2024,,
439,Humber River Health - Wilson Site - 5E,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-08-13,2024-08-26,N,2024,,
440,Age Care Trilogy - 4th Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2024-08-13,2024-08-26,N,2024,,
441,Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,,2024-08-13,2024-08-21,N,2024,,
442,Fountain View Care Community - 3A (Woodlands),1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2024-08-12,2024-08-21,N,2024,,
443,"Gibson Long-Term Care Residence - 2nd, 3rd & 4th Fl",1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2024-08-12,2024-09-04,N,2024,,
444,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,,2024-08-12,2024-08-18,N,2024,,
445,North York General Hospital - Branson Site - RCC - 4 & 5,555 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-08-12,2024-08-24,N,2024,,
446,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,COVID-19,,2024-08-12,2024-08-26,N,2024,,
447,True Davidson Acres LTCH - 3rd Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,,2024-08-11,2024-09-03,N,2024,,
448,Wesburn Manor - 4N,400 The West Mall,LTCH,Respiratory,COVID-19,,2024-08-10,2024-08-28,N,2024,,
449,Copernicus Lodge - 2 North,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,,2024-08-09,2024-09-02,N,2024,,
450,Alexis Lodge Retirement Residence - Main & Upper Fl,707 Ellesmere Rd,Retirement Home,Respiratory,COVID-19,,2024-08-09,2024-08-19,N,2024,,
451,Donway Place - 1st Fl,8 The Donway E,Retirement Home,Respiratory,COVID-19,,2024-08-09,2024-08-26,N,2024,,
452,RCC Finch Site - Markham Stouville Hospital - 6E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-08-08,2024-08-18,N,2024,,
453,Qeens Estate Retirement Residence - 4th Fl,265 Queens Dr,Retirement Home,Respiratory,COVID-19,,2024-08-08,2024-08-19,N,2024,,
454,The Millwood - 4th Fl,921 Millwood Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2024-08-08,2024-08-17,N,2024,,
455,The Wexford - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2024-08-07,2024-08-15,N,2024,,
456,Hellenic Home - Ground Fl,2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2024-08-07,2024-08-18,N,2024,,
457,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2024-08-07,2024-08-19,N,2024,,
458,Delmanor Wynford - 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,,2024-08-06,2024-08-14,N,2024,,
459,Humber Meadows LTCH - Aster (2S),2109 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-08-06,2024-08-13,N,2024,,
460,Shepherd Lodge - 2S,3760 Sheppard Ave E,LTCH,Respiratory,Rhinovirus,,2024-08-06,2024-08-12,N,2024,,
461,Rayoak Place - 1st Fl,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,,2024-08-05,2024-08-14,N,2024,,
462,Villa Colombo Homes For The Aged - 1st Fl (Fidani Unit),40 Playfiar Ave,LTCH,Respiratory,COVID-19,,2024-08-03,2024-08-17,N,2024,,
463,Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2024-08-02,2024-08-12,N,2024,,
464,Unity Health Toronto - Houses Of Providence - Hop 3 East (Cedar),3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,Rhinovirus,2024-08-02,2024-08-13,N,2024,,
465,William Osler Health System - Etobicoke General Hospital - 8W Surgical Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,,2024-08-01,2024-08-09,N,2024,,
466,Chartwell Guildwood Retirement Residence - 2nd Fl (Dementia Unit),65 Livingston Rd,Retirement Home,Respiratory,COVID-19,,2024-08-01,2024-08-09,N,2024,,
467,Unity Health Toronto - Houses Of Providence - Hop 3W (Poplar & Walnut),3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,,2024-07-31,2024-08-13,N,2024,,
468,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,,2024-07-30,2024-08-08,N,2024,,
469,Dom Lipa - 1st Fl (K Wing) & 2nd Fl,52 Neilson Dr,LTCH,Respiratory,COVID-19,,2024-07-30,2024-08-15,N,2024,,
470,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2024-07-29,2024-08-06,N,2024,,
471,Gibson Long-Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,,2024-07-29,2024-08-08,N,2024,,
472,RCC - Church Site - St. Joseph's Health Centre - 4B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-07-29,2024-08-09,N,2024,,
473,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2024-07-29,2024-08-17,N,2024,,
474,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,,2024-07-28,2024-08-08,N,2024,,
475,Kipling Acres - 2nd Fl (Elms),2233 Kipling Ave,LTCH,Respiratory,Rhinovirus,,2024-07-27,2024-08-05,N,2024,,
476,Gibson Long-Term Care Residence - 1st & 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2024-07-26,2024-08-12,N,2024,,
477,UHN - Toronto General Hospital - 6ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,,2024-07-26,2024-08-10,N,2024,,
478,Labdara Lithuanian Nursing Home - 1st Fl (South),5 Ressurection Rd,LTCH,Respiratory,COVID-19,,2024-07-26,2024-08-11,N,2024,,
479,Better Living At Thompson House - 3rd Fl & 4th Fl (North),1 Overland Dr,LTCH,Respiratory,COVID-19,,2024-07-24,2024-08-09,N,2024,,
480,Age Care Trilogy - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2024-07-24,2024-07-29,N,2024,,
481,TEHN - Atrium At Kew Beach (A MGH Affiliated Unit) - 3E,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-07-24,2024-07-31,N,2024,,
482,Centre For Addiction And Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2024-07-23,2024-08-03,N,2024,,
483,The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,COVID-19,,2024-07-23,2024-08-12,N,2024,,
484,Hellenic Care For Seniors,215 Tyrrel Ave,LTCH,Respiratory,Rhinovirus,,2024-07-22,2024-08-14,N,2024,,
485,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,COVID-19,,2024-07-22,2024-07-30,N,2024,,
486,Yee Hong Centre Scarborough - 3F,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-07-22,2024-08-01,N,2024,,
487,"Delmanor Prince Edward - 3rd, 5th & 8th Fl",4180 Dundas St W,Retirement Home,Respiratory,COVID-19,,2024-07-22,2024-07-24,N,2024,,
488,Sunnybrook Health Sciences Centre - D2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-07-20,2024-07-28,N,2024,,
489,Mon Sheong Home For The Aged - 2nd & 3rd Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,,2024-07-20,2024-08-07,N,2024,,
490,Fountain View Community - Lakeside 2B,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2024-07-19,2024-07-26,N,2024,,
491,TEHN - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-07-19,2024-07-26,N,2024,,
492,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2024-07-19,2024-07-31,N,2024,,
493,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,COVID-19,,2024-07-18,2024-08-19,N,2024,,
494,The Village Of Humber Heights - Brule Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,,2024-07-18,2024-07-29,N,2024,,
495,St. George Care Community - 4th Fl,225 St. George St,LTCH,Respiratory,Parainfluenza,,2024-07-18,2024-08-07,N,2024,,
496,Mon Sheong Scarborough - 2nd Fl South & 2nd Fl North,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2024-07-16,2024-07-31,N,2024,,
497,Sunnybrook Health Science - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Colonization E. coli (NDM/OXA-48),"CPE Colonization E. coli (NDM), CPE Infection E.coli (NDM/OXA-48), CPE Infection E. coli (OXA-48), VRE",2024-07-16,2024-09-11,N,2024,,
498,Sunnybrook Health Science - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-07-16,2024-07-27,N,2024,,
499,The Russell Hill Retirement Residence,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,,2024-07-16,2024-07-24,N,2024,,
500,Leaside Retirement Residence - 2nd Fl (Memory Care Unit),10 William Morgan Dr,Retirement Home,Enteric,Unable to identify,,2024-07-15,2024-07-22,N,2024,,
501,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,,2024-07-15,2024-07-23,N,2024,,
502,Baycrest Apotex Centre - Jewish Home For The Aged - 6EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-15,2024-08-10,N,2024,,
503,Belmont House - 5 Walker Wing,55 Belmont St,LTCH,Respiratory,COVID-19,,2024-07-15,2024-07-22,N,2024,,
504,Yee Hong Centre -Mcnicoll - 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Parainfluenza,,2024-07-14,2024-07-26,N,2024,,
505,One Keton Place  - 4th Fl,1 Kenton Pl,Retirement Home,Respiratory,COVID-19,,2024-07-12,2024-07-18,N,2024,,
506,UHN - Toronto General Hospital - 7MA/B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Metapneumovirus,,2024-07-12,2024-07-16,N,2024,,
507,Hawthorne Place Care Centre - Lily Way - 3rd Fl,2025 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-07-12,2024-07-22,N,2024,,
508,Westside Long Term Care - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Parainfluenza,,2024-07-11,2024-07-30,N,2024,,
509,"Cummer Lodge - 2N, 2S & 4N",305 Cummer Ave,LTCH,Respiratory,Rhinovirus,,2024-07-11,2024-08-04,N,2024,,
510,"Villa Colombo (Ltch) - 3rd & 4th (Fidani), 2nd, 3rd & 4th (Fusco)",40 Playfair Ave,LTCH,Enteric,Norovirus,,2024-07-11,2024-07-29,N,2024,,
511,Baycrest Apotex Centre - Jewish Home For The Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-10,2024-07-19,N,2024,,
512,Trillium Health Partners - Mccall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,,2024-07-09,2024-07-16,N,2024,,
513,Westpark Long Term Care Centre - Humber/York,150 Emmett Ave,LTCH,Respiratory,COVID-19,,2024-07-09,2024-07-29,N,2024,,
514,McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2024-07-08,2024-07-15,N,2024,,
515,"Don Mills Retirement Residence - 3rd, 5th & 7th Fl",2 Green Belt Dr,Retirement Home,Respiratory,COVID-19,,2024-07-08,2024-08-08,N,2024,,
516,Kipling Acres Long-Term Care Home - Highfield,2233 Kipling Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2024-07-08,2024-07-17,N,2024,,
517,Baycrest Apotex Centre - Jewish Home For The Aged - 7EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-08,2024-07-18,N,2024,,
518,Extendicare Rouge Valley - Moorish Unit - 3rd Fl S,551 Collins Rd,LTCH,Respiratory,Rhinovirus,,2024-07-08,2024-07-22,N,2024,,
519,Ukranian Canadian Care Centre - 2nd Fl,60 Richview Rd,LTCH,Respiratory,COVID-19,,2024-07-08,2024-07-18,N,2024,,
520,TEHN- Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-07-08,2024-07-16,N,2024,,
521,Nygh - Seniors' Health Centre - 2nd Fl,2111 Buchan Crt,LTCH,Respiratory,COVID-19,Enterovirus/ Rhinovirus,2024-07-07,2024-07-23,N,2024,,
522,Nygh - Seniors' Health Centre - 4th Fl,2111 Buchan Crt,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-07-07,2024-07-13,N,2024,,
523,Baycrest Apotex Centre - Jewish Home For The Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-07,2024-07-15,N,2024,,
524,Baycrest Apotex Centre - Jewish Home For The Aged - 4RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-07,2024-07-22,N,2024,,
525,Runnymede Healthcare Centre - 2E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-07-06,2024-07-15,N,2024,,
526,Baycrest Apotex Centre - Jewish Home For The Aged - 5RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-07-05,2024-07-17,N,2024,,
527,Midland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,,2024-07-04,2024-07-16,N,2024,,
528,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-07-04,2024-07-29,N,2024,,
529,North York General Hospital - General Site - 7N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,,2024-07-04,2024-07-12,N,2024,,
530,Fudger House - 1 West,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2024-07-03,2024-07-22,N,2024,,
531,Norfinch Care Community Nursing Home - 3B,22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2024-07-02,2024-07-15,N,2024,,
532,The Village of Humber Heights - Alderwood,2245 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,,2024-07-02,2024-07-19,N,2024,,
533,Chartwell Lansing Retirement Residence - 1st & 3rd Fl,10 Senlac Rd,LTCH,Respiratory,COVID-19,,2024-06-30,2024-07-17,N,2024,,
534,Sisters of St. Joseph - Unit 3 & 4,2 O'Connor Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-28,2024-07-06,N,2024,,
535,Baycrest Hospital - Terraces 1st Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-06-28,2024-07-06,N,2024,,
536,Kipling Acres - Humber Unit,2233 Kipling Ave,LTCH,Respiratory,Parainfluenza,,2024-06-27,2024-07-08,N,2024,,
537,The Kensington Gardens (South Building) - 4 East,25 Brunswick Ave,LTCH,Respiratory,Rhinovirus,,2024-06-27,2024-07-08,N,2024,,
538,Terraces of Baycrest Retirement Residence - 11th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-06-27,2024-07-05,N,2024,,
539,Wesburn Manor - 2 North,400 The West Mall,LTCH,Respiratory,Rhinovirus,,2024-06-26,2024-07-11,N,2024,,
540,Chartwell Westbury Long Term Care - 2nd Fl,495 The West Mall,LTCH,Respiratory,Parainfluenza,,2024-06-26,2024-07-06,N,2024,,
541,Leaside Retirement - 3rd Fl Building 10,10 William Morgan Dr,Retirement Home,Enteric,Norovirus,,2024-06-25,2024-07-07,N,2024,,
542,Mindland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,,2024-06-25,2024-07-04,N,2024,,
543,"Kennedy Lodge - 2 & 3 South, Main North & 2 North",1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2024-06-25,2024-07-18,N,2024,,
544,Better Living at Thomspson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Metapneumovirus,,2024-06-24,2024-07-06,N,2024,,
545,Baycrest Hospital - H3W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-24,2024-07-06,N,2024,,
546,Terraces of Baycrest Retirement Residences - 8th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-06-24,2024-07-02,N,2024,,
547,Terraces of Baycrest Retirement Residence - 9th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-06-23,2024-07-01,N,2024,,
548,Runnymede Healthcare Centre - 3 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-23,2024-07-07,N,2024,,
549,Weston Terrace Care Community - 2nd Fl,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-06-22,2024-07-01,N,2024,,
550,North York General Hospital - Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2024-06-21,2024-07-01,N,2024,,
551,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-21,2024-07-06,N,2024,,
552,Baycrest Hospital - H4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-21,2024-06-29,N,2024,,
553,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,,2024-06-20,2024-06-26,N,2024,,
554,"Nisbet Lodge - 6th,7th & 8th Fl (Team 2)",740 Pape Ave,LTCH,Respiratory,COVID-19,,2024-06-20,2024-06-27,N,2024,,
555,Shepherd Lodge - 3rd Fl South,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,,2024-06-19,2024-06-24,N,2024,,
556,Leaside Retirement Residence - 6th Fl Building 14,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,,2024-06-18,2024-06-25,N,2024,,
557,Humber River Hospital - RCC Church Site - A2N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-18,2024-07-04,N,2024,,
558,Mon Sheong Scarborough Long Term Care - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Parainfluenza,,2024-06-17,2024-06-26,N,2024,,
559,Southlake Regional Health Centre - RCC Finch Site - 6 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-17,2024-06-28,N,2024,,
560,Yee Hong Centre - Scarborough - 1st & 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,Parainfluenza,,2024-06-17,2024-07-12,N,2024,,
561,UHN - Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Enteric,Clostridium difficile,,2024-06-17,2024-07-12,N,2024,,
562,Cheltenham Care Community - 1st & 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Parainfluenza,,2024-06-17,2024-07-14,N,2024,,
563,Presentation Manor - 4th Fl,61 Fairfox Cres,Retirement Home,Respiratory,COVID-19,,2024-06-17,2024-06-26,N,2024,,
564,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-15,2024-06-28,N,2024,,
565,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,,2024-06-13,2024-06-22,N,2024,,
566,Reactivation Care Centre - Finch Site - Southlake Hospital - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2024-06-13,2024-06-21,N,2024,,
567,Bendale Acres - 1st & 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-06-13,2024-06-25,N,2024,,
568,Scarborough Health Network - Birchmount Hospital - 4A,3030 Birchmount Rd,Hospital-Acute Care,Other,CPE Unspecified (VIM),,2024-06-13,2024-06-28,N,2024,,
569,Belmont House - 5th Fl,55 Belmont St,Retirement Home,Respiratory,COVID-19,,2024-06-12,2024-06-19,N,2024,,
570,Bill McMurray Residence,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,,2024-06-11,2024-06-20,N,2024,,
571,Fudger House - 2 West & 3 West,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2024-06-11,2024-07-02,N,2024,,
572,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,COVID-19,,2024-06-11,2024-07-02,N,2024,,
573,Fieldstone Commons Care Community - 3A & 3B,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2024-06-10,2024-06-19,N,2024,,
574,Dom Lipa - Wing 2,52 Neilson Dr,LTCH,Respiratory,COVID-19,,2024-06-10,2024-06-18,N,2024,,
575,Hawthorne Place Care Centre - Maple Lane - 1st Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,,2024-06-09,2024-06-20,N,2024,,
576,Carefree Lodge - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,,2024-06-08,2024-06-15,N,2024,,
577,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-06-07,2024-06-15,N,2024,,
578,Kensington Gardens South - 1 West & 1 East,25 Brunswick Ave,LTCH,Enteric,Norovirus,,2024-06-07,2024-06-21,N,2024,,
579,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Unable to identify,,2024-06-06,2024-06-15,N,2024,,
580,"Tony Stacey Centre for Veterans Care - 1st Fl South, 2nd Fl South & 2nd Fl East",59 Lawson Rd,LTCH,Respiratory,Parainfluenza,,2024-06-06,2024-06-21,N,2024,,
581,Gibson Long-Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,,2024-06-05,2024-06-20,N,2024,,
582,Kensington Gardens South - 1 East & 2 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2024-06-05,2024-06-20,N,2024,,
583,Centre for Addiction and Mental Health - Queen Site - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2024-06-04,2024-06-11,N,2024,,
584,Fudger House - 1 East,439 Sherbourne St,LTCH,Respiratory,Coronavirus*,,2024-06-04,2024-06-17,N,2024,,
585,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,,2024-06-03,2024-06-17,N,2024,,
586,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Rhinovirus,,2024-05-31,2024-06-21,N,2024,,
587,Toronto East Health Network - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2024-05-31,2024-06-07,N,2024,,
588,The Village of Humber Heights,2245 Lawrence Ave West,Retirement Home,Respiratory,COVID-19,,2024-05-30,2024-06-11,N,2024,,
589,Harold and Grace Baker Centre LTCH - C Wing,1 Northwestern Ave,LTCH,Respiratory,COVID-19,,2024-05-29,2024-06-14,N,2024,,
590,University Health Network - Bickle Centre - South 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2024-05-29,2024-06-08,N,2024,,
591,Humber Meadows Long Term Care Home - Douglas South,2109 Finch Ave W,LTCH,Respiratory,Parainfluenza,,2024-05-29,2024-06-07,N,2024,,
592,"Fountain View Care Community - 1A Terrace, 2A Breezeway & 2B Lakeside",1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,Coronavirus*,2024-05-28,2024-06-22,N,2024,,
593,Hellenic Home for the Aged - 2nd Fl,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2024-05-28,2024-06-18,N,2024,,
594,Shepherd Lodge - 2 South,3760 Sheppard Ave East,LTCH,Respiratory,Unable to identify,,2024-05-27,2024-06-05,N,2024,,
595,"Shepherd Lodge - 6 South, 6 North & 2 South",3760 Sheppard Ave East,LTCH,Respiratory,COVID-19,,2024-05-27,2024-06-09,N,2024,,
596,Toronto East Health Network - AHF - Atrium at Kew Beach RR - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-05-27,2024-06-04,N,2024,,
597,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,,2024-05-27,2024-06-05,N,2024,,
598,Kennedy Lodge - Ground Fl,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,,2024-05-26,2024-05-31,N,2024,,
599,Downsview Long Term Care Centre - 1 East,3595 Keele St,LTCH,Respiratory,Coronavirus*,,2024-05-26,2024-06-02,N,2024,,
600,Kipling Acres - Thistletown Unit,2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2024-05-25,2024-06-05,N,2024,,
601,Wesburn Manor - 2 & 3 South,400 The West Mall,LTCH,Respiratory,COVID-19,,2024-05-25,2024-06-11,N,2024,,
602,The Kensington Gardens (North) - 1 East,45 Brunswick Ave,LTCH,Respiratory,COVID-19,,2024-05-25,2024-06-03,N,2024,,
603,Trillium Health Partners - McCall Continuing Care - 2nd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,,2024-05-24,2024-06-03,N,2024,,
604,Unity Health Toronto - St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Other,CPE Enterobacter cloacae (KPC),,2024-05-23,2024-06-22,N,2024,,
605,Chartwell Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,,2024-05-23,2024-06-03,N,2024,,
606,Toronto East Health Network - AHF - Atrium at Kew Beach RR - 3W,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-05-23,2024-05-31,N,2024,,
607,Chartwell Lansing Retirement Residence - 1st Fl,10 Senlac Rd,Retirement Home,Respiratory,COVID-19,,2024-05-22,2024-05-30,N,2024,,
608,University Health Network - Toronto General - 6ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,,2024-05-22,2024-05-31,N,2024,,
609,Norfinch Care Community - North York - 2A,22 Norfinch Dr,LTCH,Respiratory,COVID-19,,2024-05-22,2024-05-30,N,2024,,
610,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Parainfluenza,Rhinovirus,2024-05-21,2024-06-06,N,2024,,
611,Delmanor Wynford - 4th & 6th Fl,187 Wynford Dr,Retirement Home,Respiratory,COVID-19,,2024-05-21,2024-05-30,N,2024,,
612,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,,2024-05-21,2024-05-27,N,2024,,
613,Dom Lipa - 2nd Fl,52 Neilson Dr,Retirement Home,Respiratory,COVID-19,,2024-05-21,2024-05-31,N,2024,,
614,Terraces of Baycrest - T4,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2024-05-21,2024-05-29,N,2024,,
615,Cheltenham Care Community - 2nd & 3rd Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,,2024-05-21,2024-06-08,N,2024,,
616,Chartwell White Eagle Long Term Care Residence - 2nd Fl,138 Dowling Ave,LTCH,Respiratory,COVID-19,,2024-05-20,2024-06-05,N,2024,,
